Date,Month,Week,EMP Name,Supervisor Name,Calls Handled,Sales,Average Handle Time,Login Hours,Target Login Hours,Total Handle Time
01-Jan-17,Jan-17,1,EMP-1,Supervisor-1,66,5,487,5.9,9,32142
01-Jan-17,Jan-17,1,EMP-2,Supervisor-1,46,13,549,4.2,9,25254
01-Jan-17,Jan-17,1,EMP-3,Supervisor-1,42,26,599,4.9,9,25158
01-Jan-17,Jan-17,1,EMP-4,Supervisor-1,48,23,429,6.9,9,20592
01-Jan-17,Jan-17,1,EMP-5,Supervisor-1,36,10,356,4.2,9,12816
01-Jan-17,Jan-17,1,EMP-6,Supervisor-2,64,16,343,4.2,9,21952
01-Jan-17,Jan-17,1,EMP-7,Supervisor-2,48,11,545,4.9,9,26160
01-Jan-17,Jan-17,1,EMP-8,Supervisor-2,54,6,331,4.2,9,17874
01-Jan-17,Jan-17,1,EMP-9,Supervisor-2,64,7,393,4.2,9,25152
01-Jan-17,Jan-17,1,EMP-10,Supervisor-2,53,19,304,8.8,9,16112
01-Jan-17,Jan-17,1,EMP-11,Supervisor-2,54,16,511,6.9,9,27594
01-Jan-17,Jan-17,1,EMP-12,Supervisor-2,59,20,530,8.8,9,31270
01-Jan-17,Jan-17,1,EMP-13,Supervisor-2,70,8,429,5.9,9,30030
01-Jan-17,Jan-17,1,EMP-14,Supervisor-2,70,15,427,4.9,9,29890
01-Jan-17,Jan-17,1,EMP-15,Supervisor-3,70,0,341,8.8,9,23870
01-Jan-17,Jan-17,1,EMP-16,Supervisor-3,55,15,454,4.9,9,24970
01-Jan-17,Jan-17,1,EMP-17,Supervisor-3,60,18,394,5.9,9,23640
01-Jan-17,Jan-17,1,EMP-18,Supervisor-3,34,8,463,a,9,15742
01-Jan-17,Jan-17,1,EMP-19,Supervisor-3,60,5,529,5.9,9,31740
01-Jan-17,Jan-17,1,EMP-20,Supervisor-3,53,7,316,9,9,16748
02-Jan-17,Jan-17,2,EMP-1,Supervisor-1,51,22,405,4.9,9,20655
02-Jan-17,Jan-17,2,EMP-2,Supervisor-1,35,7,485,4.2,9,16975
02-Jan-17,Jan-17,2,EMP-3,Supervisor-1,52,17,574,4.9,9,29848
02-Jan-17,Jan-17,2,EMP-4,Supervisor-1,56,9,490,6.9,9,27440
02-Jan-17,Jan-17,2,EMP-5,Supervisor-1,66,13,540,4.2,9,35640
02-Jan-17,Jan-17,2,EMP-6,Supervisor-2,37,12,493,4.9,9,18241
02-Jan-17,Jan-17,2,EMP-7,Supervisor-2,33,27,560,6.9,9,18480
02-Jan-17,Jan-17,2,EMP-8,Supervisor-2,69,5,343,4.2,9,23667
02-Jan-17,Jan-17,2,EMP-9,Supervisor-2,57,0,370,4.2,9,21090
02-Jan-17,Jan-17,2,EMP-10,Supervisor-2,51,10,360,4.2,9,18360
02-Jan-17,Jan-17,2,EMP-11,Supervisor-2,38,25,474,4.9,9,18012
02-Jan-17,Jan-17,2,EMP-12,Supervisor-2,37,8,358,9,9,13246
02-Jan-17,Jan-17,2,EMP-13,Supervisor-2,38,0,600,5.9,9,22800
02-Jan-17,Jan-17,2,EMP-14,Supervisor-2,39,26,436,9,9,17004
02-Jan-17,Jan-17,2,EMP-15,Supervisor-3,36,20,445,5.9,9,16020
02-Jan-17,Jan-17,2,EMP-16,Supervisor-3,57,11,542,4.2,9,30894
02-Jan-17,Jan-17,2,EMP-17,Supervisor-3,55,25,548,6.9,9,30140
02-Jan-17,Jan-17,2,EMP-18,Supervisor-3,53,22,447,8.8,9,23691
02-Jan-17,Jan-17,2,EMP-19,Supervisor-3,59,24,450,4.9,9,26550
02-Jan-17,Jan-17,2,EMP-20,Supervisor-3,38,11,350,6.9,9,13300
03-Jan-17,Jan-17,2,EMP-1,Supervisor-1,31,26,402,4.2,9,12462
03-Jan-17,Jan-17,2,EMP-2,Supervisor-1,56,15,559,5.9,9,31304
03-Jan-17,Jan-17,2,EMP-3,Supervisor-1,52,12,478,8.8,9,24856
03-Jan-17,Jan-17,2,EMP-4,Supervisor-1,66,16,494,8.8,9,32604
03-Jan-17,Jan-17,2,EMP-5,Supervisor-1,39,27,514,5.9,9,20046
03-Jan-17,Jan-17,2,EMP-6,Supervisor-2,47,8,555,8.8,9,26085
03-Jan-17,Jan-17,2,EMP-7,Supervisor-2,57,26,575,6.9,9,32775
03-Jan-17,Jan-17,2,EMP-8,Supervisor-2,43,12,560,6.9,9,24080
03-Jan-17,Jan-17,2,EMP-9,Supervisor-2,66,12,531,5.9,9,35046
03-Jan-17,Jan-17,2,EMP-10,Supervisor-2,58,25,305,8.8,9,17690
03-Jan-17,Jan-17,2,EMP-11,Supervisor-2,49,25,304,5.9,9,14896
03-Jan-17,Jan-17,2,EMP-12,Supervisor-2,30,8,573,4.2,9,17190
03-Jan-17,Jan-17,2,EMP-13,Supervisor-2,59,15,361,4.9,9,21299
03-Jan-17,Jan-17,2,EMP-14,Supervisor-2,35,23,531,6.9,9,18585
03-Jan-17,Jan-17,2,EMP-15,Supervisor-3,61,24,395,5.9,9,24095
03-Jan-17,Jan-17,2,EMP-16,Supervisor-3,50,17,540,4.9,9,27000
03-Jan-17,Jan-17,2,EMP-17,Supervisor-3,36,8,351,6.9,9,12636
03-Jan-17,Jan-17,2,EMP-18,Supervisor-3,43,26,501,5.9,9,21543
03-Jan-17,Jan-17,2,EMP-19,Supervisor-3,45,15,374,6.9,9,16830
03-Jan-17,Jan-17,2,EMP-20,Supervisor-3,34,27,453,4.9,9,15402
04-Jan-17,Jan-17,2,EMP-1,Supervisor-1,31,12,422,8.8,9,13082
04-Jan-17,Jan-17,2,EMP-2,Supervisor-1,61,9,542,3.5,9,33062
04-Jan-17,Jan-17,2,EMP-3,Supervisor-1,58,19,390,3.5,9,22620
04-Jan-17,Jan-17,2,EMP-4,Supervisor-1,62,19,596,6.9,9,36952
04-Jan-17,Jan-17,2,EMP-5,Supervisor-1,31,22,393,8.8,9,12183
04-Jan-17,Jan-17,2,EMP-6,Supervisor-2,53,21,462,9,9,24486
04-Jan-17,Jan-17,2,EMP-7,Supervisor-2,63,27,507,3.5,9,31941
04-Jan-17,Jan-17,2,EMP-8,Supervisor-2,38,12,582,8.8,9,22116
04-Jan-17,Jan-17,2,EMP-9,Supervisor-2,60,27,567,9,9,34020
04-Jan-17,Jan-17,2,EMP-10,Supervisor-2,59,19,315,8.8,9,18585
04-Jan-17,Jan-17,2,EMP-11,Supervisor-2,35,24,541,5.9,9,18935
04-Jan-17,Jan-17,2,EMP-12,Supervisor-2,44,17,521,6.9,9,22924
04-Jan-17,Jan-17,2,EMP-13,Supervisor-2,65,19,550,6.9,9,35750
04-Jan-17,Jan-17,2,EMP-14,Supervisor-2,48,21,478,3.5,9,22944
04-Jan-17,Jan-17,2,EMP-15,Supervisor-3,68,18,490,3.5,9,33320
04-Jan-17,Jan-17,2,EMP-16,Supervisor-3,55,9,408,6.9,9,22440
04-Jan-17,Jan-17,2,EMP-17,Supervisor-3,39,15,515,3.5,9,20085
04-Jan-17,Jan-17,2,EMP-18,Supervisor-3,65,18,411,5.9,9,26715
04-Jan-17,Jan-17,2,EMP-19,Supervisor-3,65,14,371,4.9,9,24115
04-Jan-17,Jan-17,2,EMP-20,Supervisor-3,35,11,537,4.9,9,18795
05-Jan-17,Jan-17,2,EMP-1,Supervisor-1,46,0,528,6.9,9,24288
